"custid","name","age","phone","duration","netuse","billamt","compl","email","plan","gender","itembill"
339622,"agqsn",18,7203699886.49793,3085,8.7,1544.67,7,"agqsn@yahoo.com","WKD500","F","Y"
933024,"AgYXr",18,8041921985.75649,2232,5.2,1117.3,7,"AgYXr@office.com","WEND250","F","Y"
612014,"MpdzA",26,7737961291.83236,1255,7.1,629.28,3,"MpdzA@hotmail.com","WKD500","M","Y"
545332,"VLapC",55,7743529994.53617,1668,7.8,835.95,4,"VLapC@hotmail.com","AW1010","M","N"
325977,"gLBnw",59,6429263762.09107,2084,9.3,1044.33,4,"gLBnw@mycompany.in","WKD500","F","N"
813552,"KyeCj",25,6667787968.94545,534,8.1,269.02,6,"KyeCj@myoffice.co.in","STPL100","M","Y"
219968,"YkOxB",36,6785512818.75851,291,9.8,147.95,3,"YkOxB@yahoo.com","STPL100","M","Y"
200292,"wuTWf",35,9597009258.37684,1495,9.1,749.78,0,"wuTWf@gmail.com","TVL2500","M","Y"
580380,"aTINm",31,9067589537.40499,311,8.2,157.55,5,"aTINm@college.com","GEN225","F","Y"
166301,"sNDcP",65,7008970064.79013,706,4.9,354.22,4,"sNDcP@gmail.com","AW1010","M","Y"
355144,"PsKEJ",28,6409019893.86436,1581,9.8,792.95,10,"PsKEJ@office.com","WEND250","F","Y"
940776,"nEFcs",59,6035549834.36173,1639,8.1,821.52,4,"nEFcs@gmail.com","WKD500","M","Y"
512374,"wziTP",36,8716198451.13799,2327,4.4,1164.6,9,"wziTP@myoffice.co.in","TVL2500","F","N"
615274,"MRsSc",19,6488530785.65454,13,3,7.25,3,"MRsSc@mycompany.in","WEND250","F","Y"
335982,"jniqR",68,8073411024.58855,3184,8.7,1594.17,8,"jniqR@college.com","WEND250","F","Y"
162993,"ZQmJH",31,9307813167.67639,439,8.4,221.6,8,"ZQmJH@college.com","AW1010","F","Y"
555807,"VGplf",65,8123134017.3912,207,3.7,104.42,8,"VGplf@mycollege.edu.in","STPL100","F","N"
528115,"XEePc",30,9217820903.4132,1244,7.9,623.98,7,"XEePc@office.com","AW1010","F","Y"
306259,"IdSSt",71,7945012902.35472,655,3.3,328.32,6,"IdSSt@gmail.com","WKD500","M","N"
707057,"gPAkq",61,6836634188.6813,2883,9.7,1443.92,0,"gPAkq@mycollege.edu.in","GEN225","M","Y"
785314,"SxWCD",22,6956947068.44457,683,7.1,343.28,7,"SxWCD@gmail.com","STPL100","F","N"
843682,"GUekk",31,8453902672.36278,99,3.4,50.35,4,"GUekk@office.com","WKD500","F","Y"
475579,"kfKas",31,6555441010.60452,3378,4.7,1690.17,6,"kfKas@gmail.com","TVL2500","F","N"
524055,"mlIzW",18,7407219129.26273,414,3.4,207.85,3,"mlIzW@yahoo.com","STPL100","F","Y"
937814,"KnaJA",76,8630216126.60397,1378,4.5,690.12,8,"KnaJA@yahoo.com","GEN225","F","N"
586054,"jcdzc",57,7320874219.43008,2494,5.1,1248.28,4,"jcdzc@myoffice.co.in","AW1010","F","N"
130335,"iajBG",20,9268167079.54063,2792,1.9,1396.47,4,"iajBG@mycollege.edu.in","WEND250","F","N"
